OBJECTID,class,classid,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,EVI,GNDVI,NDMI,NDVI,NDWI,SAVI,B4_asm,B4_contrast,B4_corr,B4_diss,B4_ent,B4_idm,B4_var,B8_asm,B8_contrast,B8_corr,B8_diss,B8_ent,B8_idm,B8_var,B3_asm,B3_contrast,B3_corr,B3_diss,B3_ent,B3_idm,B3_var,elevation,slope,aspect,B7_asm,B7_contrast,B7_corr,B7_diss,B7_ent,B7_idm,B7_var
3002,Trees,6,2472.0,1692.0,1320.0,1452.0,1344.0,1768.0,2772.0,3094.0,3182.0,3327.0,-0.08292805,0.3999131567520625,0.3815951,0.1331258,0.4079636,0.3815951,0.290625,0.00808226,11448472.7109375,0.2884269030805415,2630.475694444444,4.844735853048509,0.02257286,8045862.974315643,0.007577778,239016882.5243056,0.3008745674651477,11872.333333333332,4.891366848268469,0.007378646,172542757.85595703,0.008371612,10455670.240451388,0.2923994334418927,2561.711805555556,4.818851408779884,0.0295157878957989,7370932.308,86,0.45705256,227.4359,0.0173931357301311,76544885.41319445,0.4610131040498176,5559.695313,4.240099118692845,0.3789064566136538,71513144.44348145
1995,Maize fields,1,2804.0,2374.0,1422.0,1566.0,1620.0,1901.0,2563.0,2698.0,2622.0,2887.0,0.051853415,0.2137355584082156,0.24091293,-0.039813556,0.2323031,0.24091293,0.1605233682924346,0.008357295,180905580.1684028,0.7120266610560152,8957.578993055557,4.818249718518983,0.0381947817745988,316708176.2257538,0.008005401,5369923679.934029,0.8102975288967074,51726.48263888889,4.848345994613925,0.0347222669336822,14179602076.975372,0.008889281,109471555.25,0.6311897423786006,8030.986111111111,4.782761756175529,0.041667041,147872797.48246002,28,2.2969062,132.27112,0.019636743,3612696431.626736,0.8185309239406523,35717.09635416667,4.116596532957744,0.4375000183010531,9993639717.632614
2812,Trees,6,2384.5,1635.0,1300.0,1456.5,1344.5,1728.5,2784.0,3100.5,3252.0,3358.0,-0.10833838,0.4107846527659008,0.38939643,0.16930248,0.42367685,0.38939643,0.3035020832833462,0.008453746,31553371.312934022,0.5165330345881189,4452.992621527779,4.820066552351498,0.038196371,32456862.3715477,0.008284957,394070924.4461806,0.4507173811122665,15367.33072916667,4.825470001649814,0.03472286,356164769.0604248,0.008151584,27149895.296875,0.5146222076726724,4035.336805555557,4.835108808874065,0.046008723,27974691.799747467,78,1.0583823,253.01768,0.019601327,114177842.0403646,0.4778542633398384,6201.778211805556,4.1178116765293575,0.4375000812141403,108376445.60687256
2888,Trees,6,2424.5,1670.3076923076924,1297.9642857142858,1473.9357142857143,1356.074074074074,1810.3076923076924,2727.846153846154,3013.6,3124.75,3307.0,-0.084970124,0.3858387937043431,0.37400594,0.1387538,0.40156114,0.37400594,0.2820709092717516,0.008011806,16538099.475694444,0.3948196940364232,3044.3237847222217,4.8480451494834735,0.035182749,13693568.271587372,0.008005401,189207754.9075521,0.4382230694625075,10024.041232638889,4.848345994613926,0.034731085,171871728.8776245,0.007981289,14887585.350260418,0.463973555,2884.436197916667,4.850752755657536,0.031264965,13935256.92829132,86,0.33722866,90.0,0.018403983,71566985.2044271,0.448051431865186,5614.976128472223,4.198426408440517,0.3750002513126775,65321907.83267212
628,Built up,4,3962.0,3618.0,1700.0,1940.0,2164.0,2524.0,3004.0,3186.0,3094.0,3482.0,0.1203306,0.1726955359132437,0.2319331,-0.113565564,0.18032786,0.2319331,0.1359914213296938,0.008024616,3381807752.5,0.5928913360878962,43791.407986111095,4.847443459,0.035156284,4155637181.6334686,0.007994098,6699506671.244356,0.3265699785228932,63850.95876736111,4.850151065396633,0.031250079,5014435243.888672,0.008055134,1323899653.9427085,0.5359101998138878,27617.53906,4.844735853048509,0.0312504679770528,1427503577.7668228,44,0.70618135,208.89005,0.0181515540605709,1335559877.8780382,0.3944795067552893,23084.73047,4.203228167477931,0.3715277831124352,1103091873.024353
669,Built up,4,3266.5,3080.0,1835.0,2100.0,2353.0,2631.5,2888.5,2919.5,2732.0,3040.5,0.10542293,0.067714153,0.124286406,-0.09731199,0.067741,0.124286406,0.050633799,0.007764275,5103917554.521268,0.6722897010396423,53869.99348958333,4.872413605050033,0.0208333542429261,7787765188.888718,0.0078125,7531571133.344185,0.4884875326290213,65203.31032986112,4.867600082962812,0.0208333884304752,7324276088.772827,0.007764275,2649311744.656684,0.6584551755328559,37610.46571180556,4.872413605050034,0.020833463044169,3878842813.053536,61,2.1374133,286.80728,0.017754826,2139100819.5160592,0.6291757778772777,28786.50130208333,4.198750779670583,0.4118923635677525,2892486706.812622
2971,Trees,6,2545.0,1710.0,1319.0,1487.0,1347.0,1841.0,2852.0,3150.0,3278.0,3431.0,-0.09230585,0.4201162585872819,0.3827572,0.1383204,0.42748734,0.3827572,0.3086756077116513,0.007966595,18557954.59548612,0.477901233,3174.448784722222,4.860078954701529,0.022136665,17767527.118354797,0.007470025,515596863.0694444,0.5184145359836826,17498.43923611111,4.902798963225622,0.003906412,547544905.9215088,0.008220531,24318331.739583336,0.425188694,4022.107638888889,4.838406342259223,0.0221361350929146,21354107.429504395,102,0.0,0.0,0.0185358494888117,139814432.5121528,0.7023195812285401,7419.467881944443,4.211858128182381,0.3897570874522886,239538694.8334045
2814,Trees,6,2387.0,1615.5,1278.5,1437.0,1316.0,1741.5,2721.5,3043.0,3145.0,3294.5,-0.09342211,0.3960411321488351,0.37885284,0.14927614,0.4144999,0.37885284,0.2942596351345307,0.008503478,12447730.760850694,0.481075886,2669.8111979166665,4.8116428886988585,0.072051769,12086888.159854889,0.008284957,270981004.8559028,0.4593375474887277,12717.969618055557,4.8272868354823295,0.034722401,252605916.85025024,0.008223922,11568686.259982638,0.3986816828940779,2660.330295138889,4.827888525743234,0.034724375,9829076.529354095,80,0.0,0.0,0.022314001,51268777.67057292,0.7235921256976992,4254.775607638889,4.0264434234258815,0.4522586504268318,92276140.03338625
2826,Trees,6,2248.0,1525.0,1251.0,1408.0,1280.0,1676.0,2773.0,3110.0,3268.0,3394.0,-0.13099205,0.4304216998822555,0.40939596,0.19880864,0.444594,0.40939596,0.3186610437532947,0.00853701,9717862.508680556,0.4232398545822485,2376.0685763888887,4.805086274,0.046442865593854,8412907.165512085,0.007688546,248074324.6388889,0.4381102952403019,12350.309027777776,4.882341494354929,0.0117189315987013,222608123.8565979,0.008800742,13378081.442708332,0.4575877997185709,3005.3359375000005,4.783401898188396,0.0247406332026329,12446911.406188965,79,0.6183033,0.0,0.0174187554253472,70911400.515625,0.552384645,4615.325520833334,4.230823134450624,0.3936635545721583,81322648.37051392
3801,Trees,6,2711.5,1813.5,1317.0,1485.0,1339.5,1901.0,3075.5,3327.0,3497.0,3616.5,-0.10184377,0.4594082211017445,0.4103741,0.15495488,0.44768447,0.4103741,0.322107312471513,0.009322932,15389215.13324653,0.4301819912759845,2634.423177083333,4.744554424608205,0.064673145,13527526.547279358,0.008048729,471148601.2717012,0.4753419301739431,16793.32465277778,4.845036698,0.0386289059750196,448948902.6593933,0.008182102,24950155.912760414,0.3694256263650967,3714.0334201388896,4.832401202700003,0.0429714019478702,19829253.64756012,400,3.413118,174.39107,0.0188715428481867,152942542.4565972,0.6734585841713726,7985.125,4.172842809302344,0.3789067165847128,234601433.0975952
2195,Trees,6,2862.0,2019.5,1440.0,1653.0,1594.5,1978.5,2802.0,3072.5,3167.0,3355.5,-0.028306896,0.3473470835197616,0.32839483,0.07451847,0.34182,0.32839483,0.2542348195701912,0.008223922,93695769.14930557,0.415740946855028,7679.200520833335,4.827888525743233,0.034723234,79820640.69602966,0.008042324,462444135.5937499,0.4630492675433988,17314.112847222223,4.845337543309412,0.03125014,432190667.04229736,0.008162887,51449521.87673611,0.3523695748629017,5476.654513888889,4.833303738091357,0.034723073,39536452.93519592,26,0.70542234,151.22188,0.0147207754629629,115217483.49826388,0.665590258,6409.861979166666,4.3429261754556325,0.3750011970478202,175712646.77008057
